City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
374,Gannan,CN,47.9147,123.5031,24.71,76,99,9.33,overcast clouds
375,Lesozavodsk,RU,45.4794,133.4244,32.41,94,100,18.25,snow
376,Aklavik,CA,68.2191,-135.0107,24.8,42,100,5.75,overcast clouds
377,Kesinga,IN,20.2,83.2333,80.98,47,32,3.69,scattered clouds
378,Chililabombwe,ZM,-12.3648,27.8229,61.25,97,97,7.56,light rain
379,Porto Novo,BJ,6.4965,2.6036,84.2,79,20,8.05,few clouds
380,Jiaonan,CN,35.8786,119.9753,48.0,57,75,15.66,light rain
381,Barabai,ID,-2.5833,115.3833,73.94,89,39,1.36,scattered clouds
382,Poronaysk,RU,49.2167,143.1167,41.47,68,97,11.18,overcast clouds
383,Coahuayana,MX,18.7333,-103.6833,82.4,57,1,11.5,clear sky
384,Meulaboh,ID,4.1363,96.1285,76.78,87,73,4.65,broken clouds
385,Rawlins,US,41.7911,-107.2387,39.2,30,40,9.22,scattered clouds
386,Cilegon,ID,-6.0174,106.0538,77.0,94,20,3.44,mist
387,Provideniya,RU,64.3833,-173.3,20.25,87,99,15.26,overcast clouds
388,Hobyo,SO,5.3505,48.5268,80.8,65,100,10.6,overcast clouds
389,Constitucion,CL,-35.3333,-72.4167,61.97,73,3,12.82,clear sky
390,Ocos,GT,14.5094,-92.1933,91.4,58,40,17.27,scattered clouds
391,Cabo San Lucas,MX,22.8909,-109.9124,86.0,41,1,10.36,clear sky
392,Moussoro,TD,13.6408,16.4901,81.99,7,82,10.29,broken clouds
393,Siocon,PH,7.7061,122.1353,80.4,83,73,5.75,broken clouds
394,Honningsvag,NO,70.9821,25.9704,33.73,65,92,17.98,light snow
395,Nikolayevka,RU,53.1257,47.2041,47.7,85,81,5.01,broken clouds
396,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.51,70,0,4.18,clear sky
397,Jalu,LY,29.0331,21.5482,67.62,19,100,11.79,overcast clouds
398,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,63.21,58,0,7.99,clear sky
399,Vyshestebliyevskaya,RU,45.1961,37.0181,46.4,81,96,4.47,overcast clouds
400,Apache Junction,US,33.4151,-111.5496,91.0,11,1,14.97,clear sky
401,Kutum,SD,14.2,24.6667,66.43,8,6,8.25,clear sky
402,Capitan Bado,PY,-23.2667,-55.5333,73.53,67,32,6.31,scattered clouds
403,Atbasar,KZ,51.8,68.3333,35.74,97,67,7.18,broken clouds
404,Scunthorpe,GB,53.579,-0.6544,36.0,87,52,2.3,broken clouds
405,Grindavik,IS,63.8424,-22.4338,39.2,93,75,10.36,broken clouds
406,Rio Gallegos,AR,-51.6226,-69.2181,53.6,32,0,5.75,clear sky
407,Narasannapeta,IN,18.4167,84.05,78.39,81,9,4.97,clear sky
408,Luganville,VU,-15.5333,167.1667,84.6,70,97,5.41,overcast clouds
409,Belyy Yar,RU,53.6039,91.3903,32.0,86,0,4.47,clear sky
410,Parva,RO,47.4,24.55,33.01,73,6,4.45,light snow
411,Aksu,CN,41.1231,80.2644,54.54,45,100,12.59,moderate rain
412,Kudirkos Naumiestis,LT,54.7731,22.8631,39.49,90,99,11.9,overcast clouds
413,Gainesville,US,29.6516,-82.3248,82.0,29,1,4.61,clear sky
414,Gondanglegi,ID,-7.7479,112.0132,73.76,92,3,4.85,clear sky
415,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,35.6,38,77,11.18,broken clouds
416,Nogliki,RU,51.8333,143.1667,27.07,96,100,15.1,light snow
417,Luderitz,NA,-26.6481,15.1594,78.15,38,24,7.52,few clouds
418,Big Spring,US,32.2504,-101.4787,71.6,24,1,16.11,clear sky
419,Oranjemund,NA,-28.55,16.4333,69.28,55,2,3.47,clear sky
420,Nuevo Imperial,PE,-13.0754,-76.3172,70.66,77,48,3.31,scattered clouds
421,Bilibino,RU,68.0546,166.4372,-1.57,64,46,0.94,scattered clouds
422,Orange Cove,US,36.6244,-119.3137,82.99,27,35,4.0,scattered clouds
